country,unaids.region,unaids.region.id
Afghanistan,UNAIDS Region - Asia and the Pacific,AFG
Albania,UNAIDS Region - Eastern Europe and Central Asia,ALB
Algeria,UNAIDS Region - Middle East and North Africa,DZA
Andorra,UNAIDS Region - Western & Central Europe and North America,AND
Angola,UNAIDS Region - East and Southern Africa,AGO
Antigua and Barbuda,UNAIDS Region - Latin America and the Caribbean,ATG
Argentina,UNAIDS Region - Latin America and the Caribbean,ARG
Armenia,UNAIDS Region - Eastern Europe and Central Asia,ARM
Australia,UNAIDS Region - Asia and the Pacific,AUS
Austria,UNAIDS Region - Western & Central Europe and North America,AUT
Azerbaijan,UNAIDS Region - Eastern Europe and Central Asia,AZE
The Bahamas,UNAIDS Region - Latin America and the Caribbean,BMH
Bahrain,UNAIDS Region - Middle East and North Africa,BHR
Bangladesh,UNAIDS Region - Asia and the Pacific,BGD
Barbados,UNAIDS Region - Latin America and the Caribbean,BRB
Belarus,UNAIDS Region - Eastern Europe and Central Asia,BLR
Belgium,UNAIDS Region - Western & Central Europe and North America,BEL
Belize,UNAIDS Region - Latin America and the Caribbean,BLZ
Benin,UNAIDS Region - West and Central Africa,BEN
Bhutan,UNAIDS Region - Asia and the Pacific,BTN
Bolivia,UNAIDS Region - Latin America and the Caribbean,BOL
Bosnia and Herzegovina,UNAIDS Region - Eastern Europe and Central Asia,BIH
Botswana,UNAIDS Region - East and Southern Africa,BWA
Brazil,UNAIDS Region - Latin America and the Caribbean,BRA
Brunei,UNAIDS Region - Asia and the Pacific,BRN
Bulgaria,UNAIDS Region - Western & Central Europe and North America,BGR
Burkina Faso,UNAIDS Region - West and Central Africa,BFA
Burundi,UNAIDS Region - West and Central Africa,BDI
Cambodia,UNAIDS Region - Asia and the Pacific,KHM
Cameroon,UNAIDS Region - West and Central Africa,CMR
Canada,UNAIDS Region - Western & Central Europe and North America,CAN
Cape Verde,UNAIDS Region - West and Central Africa,CPV
Central African Republic,UNAIDS Region - West and Central Africa,CAF
Chad,UNAIDS Region - West and Central Africa,TCD
Chile,UNAIDS Region - Latin America and the Caribbean,CHL
China,UNAIDS Region - Asia and the Pacific,CHN
Colombia,UNAIDS Region - Latin America and the Caribbean,COL
Comoros,UNAIDS Region - East and Southern Africa,COM
Congo,UNAIDS Region - West and Central Africa,COG
Costa Rica,UNAIDS Region - Latin America and the Caribbean,CRI
Cote d'Ivoire,UNAIDS Region - West and Central Africa,CIV
Croatia,UNAIDS Region - Western & Central Europe and North America,HRV
Cuba,UNAIDS Region - Latin America and the Caribbean,CUB
Cyprus,UNAIDS Region - Western & Central Europe and North America,CYP
Czech Republic,UNAIDS Region - Western & Central Europe and North America,CZE
North Korea,UNAIDS Region - Asia and the Pacific,PRK
Democratic Republic of the Congo,UNAIDS Region - West and Central Africa,COD
Denmark,UNAIDS Region - Western & Central Europe and North America,DNK
Djibouti,UNAIDS Region - Middle East and North Africa,DJI
Dominica,UNAIDS Region - Latin America and the Caribbean,DMA
Dominican Republic,UNAIDS Region - Latin America and the Caribbean,DOM
Ecuador,UNAIDS Region - Latin America and the Caribbean,ECU
Egypt,UNAIDS Region - Middle East and North Africa,EGY
El Salvador,UNAIDS Region - Latin America and the Caribbean,SLV
Equatorial Guinea,UNAIDS Region - West and Central Africa,GNQ
Eritrea,UNAIDS Region - East and Southern Africa,ERI
Estonia,UNAIDS Region - Western & Central Europe and North America,EST
Ethiopia,UNAIDS Region - East and Southern Africa,ETH
Federated States of Micronesia,UNAIDS Region - Asia and the Pacific,FSM
Fiji,UNAIDS Region - Asia and the Pacific,FJI
Finland,UNAIDS Region - Western & Central Europe and North America,FIN
France,UNAIDS Region - Western & Central Europe and North America,FRA
Gabon,UNAIDS Region - West and Central Africa,GAB
The Gambia,UNAIDS Region - West and Central Africa,GMB
Georgia,UNAIDS Region - Eastern Europe and Central Asia,GEO
Germany,UNAIDS Region - Western & Central Europe and North America,DEU
Ghana,UNAIDS Region - West and Central Africa,GHA
Greece,UNAIDS Region - Western & Central Europe and North America,GRC
Grenada,UNAIDS Region - Latin America and the Caribbean,GRD
Guatemala,UNAIDS Region - Latin America and the Caribbean,GTM
Guinea,UNAIDS Region - West and Central Africa,GIN
Guinea-Bissau,UNAIDS Region - West and Central Africa,GNB
Guyana,UNAIDS Region - Latin America and the Caribbean,GUY
Haiti,UNAIDS Region - Latin America and the Caribbean,HTI
Honduras,UNAIDS Region - Latin America and the Caribbean,HND
Hungary,UNAIDS Region - Western & Central Europe and North America,HUN
Iceland,UNAIDS Region - Western & Central Europe and North America,ISL
India,UNAIDS Region - Asia and the Pacific,IND
Indonesia,UNAIDS Region - Asia and the Pacific,IDN
Iraq,UNAIDS Region - Middle East and North Africa,IRQ
Ireland,UNAIDS Region - Western & Central Europe and North America,IRL
Iran,UNAIDS Region - Middle East and North Africa,IRN
Israel,UNAIDS Region - Western & Central Europe and North America,ISR
Italy,UNAIDS Region - Western & Central Europe and North America,ITA
Jamaica,UNAIDS Region - Latin America and the Caribbean,JAM
Japan,UNAIDS Region - Asia and the Pacific,JPN
Jordan,UNAIDS Region - Middle East and North Africa,JOR
Kazakhstan,UNAIDS Region - Eastern Europe and Central Asia,KAZ
Kenya,UNAIDS Region - East and Southern Africa,KEN
Kiribati,UNAIDS Region - Asia and the Pacific,KIR
Kuwait,UNAIDS Region - Middle East and North Africa,KWT
Kyrgyzstan,UNAIDS Region - Eastern Europe and Central Asia,KGZ
Laos,UNAIDS Region - Asia and the Pacific,LAO
Latvia,UNAIDS Region - Western & Central Europe and North America,LVA
Lebanon,UNAIDS Region - Middle East and North Africa,LBN
Lesotho,UNAIDS Region - East and Southern Africa,LSO
Liberia,UNAIDS Region - West and Central Africa,LBR
Libya,UNAIDS Region - Middle East and North Africa,LBY
Lithuania,UNAIDS Region - Western & Central Europe and North America,LTU
Luxembourg,UNAIDS Region - Western & Central Europe and North America,LUX
Madagascar,UNAIDS Region - East and Southern Africa,MDG
Malawi,UNAIDS Region - East and Southern Africa,MWI
Malaysia,UNAIDS Region - Asia and the Pacific,MYS
Maldives,UNAIDS Region - Asia and the Pacific,MDV
Mali,UNAIDS Region - West and Central Africa,MLI
Marshall Islands,UNAIDS Region - Asia and the Pacific,MHL
Mauritania,UNAIDS Region - West and Central Africa,MRT
Mauritius,UNAIDS Region - East and Southern Africa,MUS
Mexico,UNAIDS Region - Latin America and the Caribbean,MEX
Mongolia,UNAIDS Region - Asia and the Pacific,MNG
Montenegro,UNAIDS Region - Eastern Europe and Central Asia,MNE
Morocco,UNAIDS Region - Middle East and North Africa,MAR
Mozambique,UNAIDS Region - East and Southern Africa,MOZ
Myanmar,UNAIDS Region - Asia and the Pacific,MMR
Namibia,UNAIDS Region - East and Southern Africa,NAM
Nauru,UNAIDS Region - Asia and the Pacific,NRU
Nepal,UNAIDS Region - Asia and the Pacific,NPL
Netherlands,UNAIDS Region - Western & Central Europe and North America,NLD
New Zealand,UNAIDS Region - Asia and the Pacific,NZL
Nicaragua,UNAIDS Region - Latin America and the Caribbean,NIC
Niger,UNAIDS Region - West and Central Africa,NER
Nigeria,UNAIDS Region - West and Central Africa,NGA
Norway,UNAIDS Region - Western & Central Europe and North America,NOR
Oman,UNAIDS Region - Middle East and North Africa,OMN
Pakistan,UNAIDS Region - Asia and the Pacific,PAK
Palau,UNAIDS Region - Asia and the Pacific,PLW
Panama,UNAIDS Region - Latin America and the Caribbean,PAN
Papua New Guinea,UNAIDS Region - Asia and the Pacific,PNG
Paraguay,UNAIDS Region - Latin America and the Caribbean,PRY
Peru,UNAIDS Region - Latin America and the Caribbean,PER
Philippines,UNAIDS Region - Asia and the Pacific,PHL
Poland,UNAIDS Region - Western & Central Europe and North America,POL
Portugal,UNAIDS Region - Western & Central Europe and North America,PRT
Qatar,UNAIDS Region - Middle East and North Africa,QAT
South Korea,UNAIDS Region - Asia and the Pacific,KOR
Moldova,UNAIDS Region - Eastern Europe and Central Asia,MDA
Romania,UNAIDS Region - Western & Central Europe and North America,ROU
